Variation,rotation_phase,rotor_torque: None
1,0deg,0.00431727867917435NewtonMeter
2,5deg,0.0465552016011186NewtonMeter
3,10deg,0.100274868817556NewtonMeter
4,15deg,0.225844630909079NewtonMeter
5,20deg,0.53447411853842NewtonMeter
6,25deg,1.2159201928749NewtonMeter
7,30deg,2.12146626727875NewtonMeter
8,35deg,2.13607975933383NewtonMeter
9,40deg,2.51077477327341NewtonMeter
10,45deg,3.46929192404198NewtonMeter
11,50deg,4.70351972223209NewtonMeter
12,55deg,6.06246896215595NewtonMeter
13,60deg,7.46624767281855NewtonMeter
14,65deg,8.86903943967735NewtonMeter
15,70deg,10.2169824783116NewtonMeter
16,75deg,11.4016260478176NewtonMeter
17,80deg,12.3344538491238NewtonMeter
18,85deg,12.8815814300136NewtonMeter
19,90deg,13.3171566502565NewtonMeter
20,95deg,13.8513415083795NewtonMeter
21,100deg,14.2113837539248NewtonMeter
22,105deg,14.4754336086717NewtonMeter
23,110deg,14.6558452858024NewtonMeter
24,115deg,14.7918312216423NewtonMeter
25,120deg,14.8806723578092NewtonMeter
26,125deg,14.9131616994428NewtonMeter
27,130deg,14.8841125152125NewtonMeter
28,135deg,14.7968856246701NewtonMeter
29,140deg,14.5769386174684NewtonMeter
30,145deg,14.1624314361725NewtonMeter
31,150deg,13.021002642644NewtonMeter
32,155deg,10.3846687982455NewtonMeter
33,160deg,7.6162179222517NewtonMeter
34,165deg,5.19257005115055NewtonMeter
35,170deg,3.17948536577432NewtonMeter
36,175deg,1.47979112982689NewtonMeter
37,180deg,-0.075005398541571NewtonMeter
38,185deg,-1.63831942170084NewtonMeter
39,190deg,-3.35898346168364NewtonMeter
40,195deg,-5.4165765691966NewtonMeter
41,200deg,-7.8749546509879NewtonMeter
42,205deg,-10.6742595795214NewtonMeter
43,210deg,-13.2233152926456NewtonMeter
44,215deg,-14.2148118385366NewtonMeter
45,220deg,-14.6007683831315NewtonMeter
46,225deg,-14.794780768079NewtonMeter
47,230deg,-14.891413094252NewtonMeter
48,235deg,-14.9105568987813NewtonMeter
49,240deg,-14.8691453261944NewtonMeter
50,245deg,-14.7806217074127NewtonMeter
51,250deg,-14.6405680556407NewtonMeter
52,255deg,-14.4344349843234NewtonMeter
53,260deg,-14.1786891308173NewtonMeter
54,265deg,-13.8041554013845NewtonMeter
55,270deg,-13.2585056774782NewtonMeter
56,275deg,-12.8422742330548NewtonMeter
57,280deg,-12.255290978284NewtonMeter
58,285deg,-11.2968286652739NewtonMeter
59,290deg,-10.0856232163111NewtonMeter
60,295deg,-8.7345419819638NewtonMeter
61,300deg,-7.32258302118605NewtonMeter
62,305deg,-5.92847333716225NewtonMeter
63,310deg,-4.57198613553726NewtonMeter
64,315deg,-3.36577562174279NewtonMeter
65,320deg,-2.43723925475858NewtonMeter
66,325deg,-2.14391363783116NewtonMeter
67,330deg,-2.06649811197396NewtonMeter
68,335deg,-1.13052279323445NewtonMeter
69,340deg,-0.482621779985502NewtonMeter
70,345deg,-0.190111015418432NewtonMeter
71,350deg,-0.090193536370159NewtonMeter
72,355deg,-0.041559339447239NewtonMeter
73,360deg,0.004124861388627NewtonMeter
